regalCode;description;trade exc;retail exc;trade;retail;subcategory;category
CP127-10;Pepper Spray 225ml (for CP126);112.00;128.80;128.8;148.12;pepper;intr
CP127-5;Pepper Gas Skunk Warning Sign;138.00;158.70;158.7;182.505;pepper;intr
;FOG GENERATING SYSTEMS AND ACCESSORIES;;;0;0;pepper;intr
LK89-10;JTZ-501PC Fog Generator;6500.00;7475.00;7475;8596.25;pepper;intr
LK89-11;JTZ-501PC Fog Generator Refill;1294.00;1488.10;1488.1;1711.315;pepper;intr
;GUARD MONITORING SYSTEMS;;;0;0;pepper;intr
RA55;GuardTrack Lite Incl Docking Station;2440.00;2806.00;2806;3226.9;pepper;intr
RA56;GuardTrack Patrol Baton Stainless Steel;3227.00;3711.05;3711.05;4267.7075;pepper;intr
RA57;GuardTrack Patrol Point Incl Bracket;55.00;63.25;63.25;72.7375;pepper;intr
RA58;GuardTrack 64 Software On(Multiple Site);2211.00;2542.65;2542.65;2924.0475;pepper;intr
;RF JAMMING DETECTION EQUIPMENT;;;0;0;;intr
RA50;Mall Guard Jamming Detector 200m;3125.50;3594.33;3594.325;4133.4795;jam;intr
RA50-1;Superplex Portable Jamming Detect;2800.98;3221.13;3221.127;3704.2995;jam;intr
